,gender,purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age
0,Male,86,General Manager,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875,65.0
1,Male,69,Structural Engineer,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875,52.0
2,Female,10,Senior Cost Accountant,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875,48.0
3,Female,64,Account Representative III,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125,43.0
4,Female,34,Financial Analyst,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125,57.0
5,Female,39,Assistant Media Planner,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875,71.0
6,Male,23,Compensation Analyst,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875,46.0
7,Female,74,Human Resources Assistant II,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625,50.0
8,Male,50,Speech Pathologist,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625,50.0
9,Male,72,Accounting Assistant IV,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625,37.0
10,Male,94,Programmer Analyst I,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625,27.0
11,Male,48,Environmental Specialist,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625,23.0
12,Male,60,Human Resources Manager,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375,32.0
13,Female,38,VP Marketing,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375,46.0
14,Female,32,Clinical Specialist,Health,Mass Customer,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375,58.0
15,Male,88,,Manufacturing,Affluent Customer,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625,68.0
16,Female,61,Associate Professor,Manufacturing,Mass Customer,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875,29.0
17,Female,83,Actuary,Financial Services,Mass Customer,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875,46.0
18,Female,65,General Manager,Manufacturing,Affluent Customer,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125,84.0
19,Female,2,Internal Auditor,Manufacturing,High Net Worth,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125,68.0
20,Male,11,Programmer I,Manufacturing,Mass Customer,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625,54.0
21,Male,44,Financial Analyst,Financial Services,Mass Customer,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625,29.0
22,Male,26,Quality Engineer,,Mass Customer,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,24.0
23,Female,5,Quality Control Specialist,,Affluent Customer,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,45.0
24,Female,78,Account Executive,Manufacturing,Mass Customer,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375,40.0
25,Male,11,,Property,Mass Customer,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875,77.0
26,Female,19,Engineer II,Retail,Mass Customer,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875,70.0
27,Female,71,Nurse,Property,High Net Worth,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875,56.0
28,Female,84,Librarian,Entertainment,High Net Worth,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875,62.0
29,Female,45,,Health,High Net Worth,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375,62.0
30,Female,62,,Financial Services,High Net Worth,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375,42.0
31,Male,70,Clinical Specialist,Health,Mass Customer,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125,71.0
32,Female,88,Paralegal,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125,35.0
33,Male,71,Nurse,,Mass Customer,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125,41.0
34,Female,27,Assistant Manager,Financial Services,Affluent Customer,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125,45.0
35,Female,48,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625,47.0
36,Male,76,Recruiting Manager,,High Net Worth,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625,54.0
